code,name,district,sub_district,X,Y,type
D-BGR-001,PASAR CISEENG,BOGOR,CISEENG,106.6988833,-6.449233333,LBM
D-BGR-003,PD Market Tohaga,BOGOR,PARUNG,106.7295,-6.423566667,LBM
D-BGR-014,Pemerintah Desa Cipinang,BOGOR,RUMPIN,106.6488167,-6.458916667,LBM
D-BGR-015,PD Market Tohaga,BOGOR,RUMPIN,106.6481167,-6.4586,LBM
D-BGR-041,Ny. Mira,BOGOR,CIBINONG,106.8230333,-6.46915,LBM
D-BGR-043,PASAR LALADON,BOGOR,CIOMAS,106.7521833,-6.575983333,LBM
D-BGR-051,Market Agency,BOGOR,JONGGOL,107.06585,-6.465416667,LBM
D-BGR-055,Village Officer,BOGOR,JONGGOL,107.06585,-6.465416667,LBM
D-BGR-068,Endam,BOGOR,TANJUNGSARI,107.1450833,-6.5964,LBM
D-BGR-075,Kardi,BOGOR,SUKAMAKMUR,106.9980833,-6.563233333,LBM
D-BGR-080,PASAR PARUNG PANJANG LAMA,BOGOR,PARUNG PANJANG,106.5684333,-6.343733333,LBM
D-BGR-081,Doni Jamira,BOGOR,SUKARAJA,106.8403588,-6.579949947,LBM
D-BGR-082,Bastian Lauws,BOGOR,BABAKAN MADANG,106.9015992,-6.5915813,LBM
D-BGR-083,Mursid,BOGOR,TAJURHALANG,106.7562167,-6.48085,LBM
D-BGR-084,Samidi,BOGOR,TAJURHALANG,106.7738333,-6.487766667,LBM
D-BGR-107,PASAR CITAYAM,BOGOR,BOJONG GEDE,106.7986167,-6.451033333,LBM
D-BGR-108,PASAR BOJONG GEDE,BOGOR,BOJONG GEDE,106.79525,-6.489683333,LBM
D-BGR-128,H. Agus Sujana/Heri,BOGOR,GUNUNG PUTRI,106.9375833,-6.416366667,LBM
D-BGR-133,Wanda Suwanda,BOGOR,CILEUNGSI,106.9631,-6.407883333,LBM
D-BGR-135,Cahyono Budi S,BOGOR,CITEUREUP,106.8822667,-6.48755,LBM
D-BGR-136,Irwansyah,BOGOR,CITEUREUP,106.8834667,-6.4862,LBM
D-BGR-139,Caringin Market,BOGOR,CIAWI,106.8714667,-6.682016667,LBM
D-BGR-160,Village Office,BOGOR,CARINGIN,106.8452,-6.690983333,LBM
D-BGR-161,Village Office,BOGOR,CARINGIN,106.8218333,-6.705616667,LBM
D-BGR-166,Market Cigombong,BOGOR,CIGOMBONG,106.7979833,-6.748083333,LBM
D-BGR-174,M. Rahmat,BOGOR,CIBUNGBULANG,106.6596833,-6.62175,LBM
D-BGR-175,Adung,BOGOR,PAMIJAHAN,106.6676667,-6.605766667,LBM
D-BGR-176,Wahyu Irawan,BOGOR,PAMIJAHAN,106.67105,-6.607266667,LBM
D-BGR-177,Sri Wahyuni,BOGOR,PAMIJAHAN,106.65165,-6.644216667,LBM
D-BGR-178,Uun Gunawan,BOGOR,PAMIJAHAN,106.6796333,-6.607266667,LBM
D-BGR-179,Maman Firmansyah,BOGOR,PAMIJAHAN,106.6487667,-6.6857,LBM
D-BGR-180,Wahyu Irawan,BOGOR,PAMIJAHAN,106.6796333,-6.6348,LBM
D-BGR-182,PASAR LEUWILIANG,BOGOR,LEUWILIANG,106.6327333,-6.572816667,LBM
D-BGR-183,PASAR GUNUNG BUNDER 2,BOGOR,PAMIJAHAN,106.6867,-6.66635,LBM
D-BGR-184,PASAR NANGGUNG,BOGOR,NANGGUNG,106.5396833,-6.6048,LBM
D-BGR-185,PD. Market Tohaga,BOGOR,CIGUDEG,106.5973833,-6.441783333,LBM
D-BGR-187,Pasar Cigudeg,BOGOR,CIGUDEG,106.5973833,-6.441783333,LBM
D-BGR-189,PASAR PARUNG PANJANG BARU,BOGOR,PARUNG PANJANG,106.5684333,-6.343733333,LBM
D-BGR-192,PASAR REBO BOJONG TENJO,BOGOR,TENJO,106.4376167,-6.375716667,LBM
D-BGR-193,PD. Market Tohaga,BOGOR,JASINGA,106.4641167,-6.48145,LBM
D-BGR-201,PASAR CITEKO CISARUA,BOGOR,CISARUA,106.9273,-6.6819,LBM
D-BGR-202,Sukawanah,BOGOR,MEGAMENDUNG,106.89925,-6.688216667,LBM
D-BGR-203,PASAR CIAMPEA,BOGOR,CIAMPEA,106.6982528,-6.574047734,LBM
D-BGR-204,PASAR CIAWI,BOGOR,CIAWI,106.8937457,-6.70953511,LBM
D-BGR-205,PASAR DRAMAGA,BOGOR,DRAMAGA,106.729951,-6.588788581,LBM
D-BKS-001,Market Agency,BEKASI,CIKARANG BARAT,107.0454167,-6.335883333,LBM
D-BKS-002,PASAR SERANG,BEKASI,CIKARANG SELATAN,107.11855,-6.359666667,LBM
D-BKS-005,PASAR CIKARANG,BEKASI,CIKARANG UTARA,107.06275,-6.2566,LBM
D-BKS-007,Market Agency,BEKASI,SETU,107.0371667,-6.380933333,LBM
D-BKS-008,Market Agency,BEKASI,BABELAN,107.0453333,-6.165583333,LBM
D-BKS-018,PASAR SETIADARMA,BEKASI,TAMBUN SELATAN,107.0552667,-6.2606,LBM
D-BKS-019,PASAR MANGUNJAYA,BEKASI,TAMBUN SELATAN,107.0629833,-6.2444,LBM
D-BKS-022,Market Agency,BEKASI,TAMBUN SELATAN,107.0435833,-6.241833333,LBM
D-BKS-034,PASAR SENTRAL,BEKASI,CIKARANG SELATAN,107.1342,-6.376716667,LBM
D-BKS-035,Pasar Bojong,BEKASI,KEDUNGWARINGIN,107.2663667,-6.27275,LBM
D-BKS-036,PASAR LEMAH ABANG,BEKASI,CIKARANG UTARA,107.2321833,-6.306333333,LBM
D-BKS-037,Pasar Pasir Kupang,BEKASI,SERANG BARU,107.1535667,-6.416366667,LBM
D-BKS-038,Pasar Cibenda,BEKASI,SERANG BARU,107.1307,-6.401783333,LBM
D-BKS-039,Pasar Cibarusah,BEKASI,CIBARUSAH,107.0748333,-6.43725,LBM
D-BKS-040,PASAR TEGAL DANAS,BEKASI,CIKARANG PUSAT,107.1813333,-6.32325,LBM
D-BKS-041,Pasar Sukatani,BEKASI,SUKATANI,107.1763333,-6.155733333,LBM
D-BKS-042,Pasar Elok Cikarang,BEKASI,CIKARANG UTARA,107.1555408,-6.275284087,LBM
D-TGR-001,PASAR PANGKALAN,TANGERANG,TELUKNAGA,106.6404333,-6.059166667,LBM
D-TGR-010,PASAR JOMBANG,KOTA TANGERANG SELATAN,CIPUTAT,106.7071,-6.290983333,LBM
D-TGR-012,Market Officer,KOTA TANGERANG SELATAN,CIPUTAT,106.7462333,-6.324383333,LBM
D-TGR-015,PASAR CIPUTAT,KOTA TANGERANG SELATAN,CIPUTAT,106.7464167,-6.312483333,LBM
D-TGR-017,Rahman,KOTA TANGERANG SELATAN,CIPUTAT,106.7071,-6.290983333,LBM
D-TGR-027,PASAR CEGER,KOTA TANGERANG SELATAN,PONDOK AREN,106.6884,-6.271166667,LBM
D-TGR-030,PASAR KELAPA DUA,TANGERANG,KELAPA DUA,106.6098514,-6.242163736,LBM
D-TGR-034,PASAR SEPATAN,TANGERANG,SEPATAN,106.5739833,-6.11995,LBM
D-TGR-037,Ade/Dede Jai,TANGERANG,SEPATAN,106.5737833,-6.117283333,LBM
D-TGR-044,PASAR CIKUPA,TANGERANG,CIKUPA,106.5196833,-6.222416667,LBM
D-TGR-046,Aspuri,TANGERANG,CIKUPA,106.52005,-6.2303,LBM
D-TGR-047,Aman,TANGERANG,CIKUPA,106.5196333,-6.230883333,LBM
D-TGR-048,Rabis,TANGERANG,CIKUPA,106.5195667,-6.230766667,LBM
D-TGR-049,Usen,TANGERANG,CIKUPA,106.5196833,-6.2308,LBM
D-TGR-052,Iwan,TANGERANG,CIKUPA,106.5200833,-6.23035,LBM
