movement_id,origin_district,destination_code,destination_name,destination_district,destination_sub_district,destination_X,destination_Y,destination_in_cluster,destination_cluster_name,species,number,weekly_volume
D-BGR-002-1-01-IN,BOGOR,D-BGR-002,DENY (ID LAMA:ALLOY),BOGOR,CISEENG,106.69505,-6.434967,No,,BR,100,350
D-BGR-002-1-02-IN,SUKABUMI,D-BGR-002,DENY (ID LAMA:ALLOY),BOGOR,CISEENG,106.69505,-6.434967,No,,BR,100,350
D-BGR-005-1-01-IN,CIANJUR,D-BGR-005,Cahaya farm,BOGOR,PARUNG,106.694467,-6.431183,No,,BR,3000,3000
D-BGR-005-1-02-IN,BOGOR,D-BGR-005,Cahaya farm,BOGOR,PARUNG,106.694467,-6.431183,No,,BR,3000,18000
D-BGR-006-1-01-IN,SUKABUMI,D-BGR-006,BERDIKARI FARM,BOGOR,KEMANG,107.2483549,-6.250873707,No,,BR,1000,2000
D-BGR-007-1-01-IN,TASIKMALAYA,D-BGR-007,RPA PERKASA JAYA,BOGOR,KEMANG,107.2483549,-6.250873707,No,,BR,1000,3000
D-BGR-009-1-01-IN,BOGOR,D-BGR-009,PDM FARM,BOGOR,KEMANG,107.2483549,-6.250873707,No,,BR,500,1500
D-BGR-010-1-01-IN,BOGOR,D-BGR-010,BRAVO,BOGOR,KEMANG,107.2483549,-6.250873707,No,,BR,500,1500
D-BGR-011-1-01-IN,BOGOR,D-BGR-011,Pak samad,BOGOR,GUNUNG SINDUR,106.6824,-6.406967,No,,AK,2,14
D-BGR-016-1-01-IN,BOGOR,D-BGR-016,YASIR,BOGOR,CIBINONG,106.841533,-6.480017,No,,BR,45,315
D-BGR-017-1-01-IN,BOGOR,D-BGR-017,MARET DWI JANTA,BOGOR,CIBINONG,106.821867,-6.471333,No,,BR,800,4000
D-BGR-017-1-02-IN,BOGOR,D-BGR-017,MARET DWI JANTA,BOGOR,CIBINONG,106.821867,-6.471333,No,,BR,800,1600
D-BGR-018-1-01-IN,KOTA BOGOR,D-BGR-018,H.ZAINUDIN,BOGOR,CIBINONG,106.85465,-6.4728,No,,BR,500,3500
D-BGR-021-1-01-IN,KOTA TANGERANG,D-BGR-021,TRIYENMAR,BOGOR,CIBINONG,106.81165,-6.47205,No,,BR,1500,4500
D-BGR-021-1-02-IN,SUKABUMI,D-BGR-021,TRIYENMAR,BOGOR,CIBINONG,106.81165,-6.47205,No,,BR,1500,4500
D-BGR-021-1-03-IN,BOGOR,D-BGR-021,TRIYENMAR,BOGOR,CIBINONG,106.81165,-6.47205,No,,BR,1500,4500
D-BGR-021-3-01-IN,BOGOR,D-BGR-023,H DAMIN,BOGOR,CIBINONG,106.83055,-6.475433,No,,BR,500,2000
D-BGR-026-1-01-IN,BOGOR,D-BGR-026,ASPHALI,BOGOR,CIBINONG,106.840517,-6.482,No,,BR,1000,7000
D-BGR-026-2-01-IN,BOGOR,D-BGR-028,H. RIVAI II,BOGOR,CIBINONG,106.841683,-6.481,No,,BR,1000,7000
D-BGR-029-1-01-IN,BOGOR,D-BGR-029,IRIN,BOGOR,CIBINONG,106.841717,-6.4894,No,,BR,2000,14000
D-BGR-030-1-01-IN,BOGOR,D-BGR-030,KUSNADI,BOGOR,CIBINONG,106.83875,-6.484217,No,,BR,1200,8400
D-BGR-031-1-01-IN,BOGOR,D-BGR-031,PUTRA HS,BOGOR,CIBINONG,107.2483549,-6.250873707,No,,BR,700,4900
D-BGR-032-1-01-IN,BOGOR,D-BGR-032,BAPAK HAJI KHOLIL,BOGOR,CIBINONG,106.823083,-6.490867,No,,BR,400,2800
D-BGR-033-1-01-IN,BOGOR,D-BGR-033,NAJAT,BOGOR,CIBINONG,106.818133,-6.49135,No,,BR,300,2100
D-BGR-033-2-01-IN,BOGOR,D-BGR-034,SHA SAN,BOGOR,CIBINONG,106.8182,-6.4912,No,,BR,1000,7000
D-BGR-037-1-01-IN,BOGOR,D-BGR-037,ASMAD,BOGOR,CIBINONG,106.823,-6.469133,No,,AK,15,105
D-BGR-037-1-02-IN,BOGOR,D-BGR-037,ASMAD,BOGOR,CIBINONG,106.823,-6.469133,No,,DU,10,30
D-BGR-044-1-01-IN,BOGOR,D-BGR-044,CV SUKAMAJU FARM,BOGOR,TAMANSARI,106.771467,-6.653083,No,,BR,500,750
D-BGR-044-1-02-IN,SUKABUMI,D-BGR-044,CV SUKAMAJU FARM,BOGOR,TAMANSARI,106.771467,-6.653083,No,,BR,500,750
D-BGR-044-1-03-IN,BOGOR,D-BGR-044,CV SUKAMAJU FARM,BOGOR,TAMANSARI,106.771467,-6.653083,No,,BR,500,500
D-BGR-044-1-04-IN,BOGOR,D-BGR-044,CV SUKAMAJU FARM,BOGOR,TAMANSARI,106.771467,-6.653083,No,,BR,500,1500
D-BGR-045-1-01-IN,CIANJUR,D-BGR-045,TPA SAWORAYA FARM,BOGOR,TAMANSARI,106.773017,-6.64465,No,,BR,300,699.9999
D-BGR-045-1-02-IN,BOGOR,D-BGR-045,TPA SAWORAYA FARM,BOGOR,TAMANSARI,106.773017,-6.64465,No,,BR,300,699.9999
D-BGR-045-1-03-IN,SUKABUMI,D-BGR-045,TPA SAWORAYA FARM,BOGOR,TAMANSARI,106.773017,-6.64465,No,,BR,300,699.9999
D-BGR-048-1-01-IN,BOGOR,D-BGR-048,PUTRA FARM,BOGOR,DRAMAGA,106.731567,-6.575267,No,,BR,800,5600
D-BGR-049-1-01-IN,BOGOR,D-BGR-049,JAJA AYAM,BOGOR,CIAMPEA,106.693483,-6.551483,No,,AK,100,700
D-BGR-049-1-02-IN,BOGOR,D-BGR-049,JAJA AYAM,BOGOR,CIAMPEA,106.693483,-6.551483,No,,DU,70,210
D-BGR-049-1-03-IN,SUKABUMI,D-BGR-049,JAJA AYAM,BOGOR,CIAMPEA,106.693483,-6.551483,No,,BR,100,200
D-BGR-049-1-04-IN,BOGOR,D-BGR-049,JAJA AYAM,BOGOR,CIAMPEA,106.693483,-6.551483,No,,BR,100,200
D-BGR-049-1-05-IN,BOGOR,D-BGR-049,JAJA AYAM,BOGOR,CIAMPEA,106.693483,-6.551483,No,,BR,100,300
D-BGR-052-1-01-IN,BOGOR,D-BGR-052,MARTIN,BOGOR,JONGGOL,107.067217,-6.465933,No,,BR,500,1000
D-BGR-052-1-02-IN,CIANJUR,D-BGR-052,MARTIN,BOGOR,JONGGOL,107.067217,-6.465933,No,,BR,500,1000
D-BGR-054-1-01-IN,BOGOR,D-BGR-054,MULYADI,BOGOR,JONGGOL,107.2483549,-6.250873707,No,,BR,500,500
D-BGR-054-1-02-IN,CIANJUR,D-BGR-054,MULYADI,BOGOR,JONGGOL,107.2483549,-6.250873707,No,,BR,500,1000
D-BGR-054-1-03-IN,PURWAKARTA,D-BGR-054,MULYADI,BOGOR,JONGGOL,107.2483549,-6.250873707,No,,BR,500,500
D-BGR-057-1-01-IN,BOGOR,D-BGR-057,NURDIN MULYADI,BOGOR,CARIU,107.134067,-6.505333,No,,AK,15,30
D-BGR-057-1-02-IN,BOGOR,D-BGR-057,NURDIN MULYADI,BOGOR,CARIU,107.134067,-6.505333,No,,DU,35,70
D-BGR-057-1-03-IN,BOGOR,D-BGR-057,NURDIN MULYADI,BOGOR,CARIU,107.134067,-6.505333,No,,AK,15,45
D-BGR-057-1-04-IN,BOGOR,D-BGR-057,NURDIN MULYADI,BOGOR,CARIU,107.134067,-6.505333,No,,DU,35,105
D-BGR-057-1-05-IN,KARAWANG,D-BGR-057,NURDIN MULYADI,BOGOR,CARIU,107.134067,-6.505333,No,,AK,15,30
D-BGR-057-1-06-IN,KARAWANG,D-BGR-057,NURDIN MULYADI,BOGOR,CARIU,107.134067,-6.505333,No,,DU,35,70
D-BGR-058-1-01-IN,BOGOR,D-BGR-058,H. YADI,BOGOR,CARIU,107.1317,-6.505883,No,,BR,500,3500
D-BGR-059-1-01-IN,BOGOR,D-BGR-059,MAMAN,BOGOR,TANJUNGSARI,107.154283,-6.580633,No,,AK,10,70
D-BGR-061-1-01-IN,BOGOR,D-BGR-061,BAPAK ASRIP,BOGOR,TANJUNGSARI,107.149,-6.588283,No,,AK,10,50
D-BGR-061-1-02-IN,,D-BGR-061,BAPAK ASRIP,BOGOR,TANJUNGSARI,107.149,-6.588283,No,,,,
D-BGR-062-1-01-IN,BOGOR,D-BGR-062,HAMIM,BOGOR,TANJUNGSARI,107.146367,-6.584583,No,,AK,10,70
D-BGR-063-1-01-IN,BOGOR,D-BGR-063,BAPAK UJAY,BOGOR,TANJUNGSARI,107.14705,-6.600167,No,,AK,5,35
D-BGR-064-1-01-IN,CIANJUR,D-BGR-064,NASIM,BOGOR,TANJUNGSARI,107.167817,-6.640167,No,,AK,80,560
D-BGR-064-1-02-IN,BOGOR,D-BGR-064,NASIM,BOGOR,TANJUNGSARI,107.167817,-6.640167,No,,AK,5,35
D-BGR-064-1-03-IN,BOGOR,D-BGR-064,NASIM,BOGOR,TANJUNGSARI,107.167817,-6.640167,No,,AK,15,105
D-BGR-065-1-01-IN,CIANJUR,D-BGR-065,H. Andang,BOGOR,TANJUNGSARI,107.2483549,-6.250873707,No,,BR,100,700
D-BGR-065-1-02-IN,CIANJUR,D-BGR-065,H. Andang,BOGOR,TANJUNGSARI,107.2483549,-6.250873707,No,,BR,100,700
D-BGR-066-1-01-IN,BOGOR,D-BGR-066,BAPAK KANO,BOGOR,TANJUNGSARI,107.15485,-6.64745,No,,AK,15,105
D-BGR-067-1-01-IN,BOGOR,D-BGR-067,BAPAK DEDE ROSADI/ADE,BOGOR,TANJUNGSARI,107.143283,-6.578617,No,,BR,20,80
D-BGR-069-1-01-IN,BOGOR,D-BGR-069,H.OJAN,BOGOR,TANJUNGSARI,107.102433,-6.542033,No,,BR,80,560
D-BGR-070-1-01-IN,CIANJUR,D-BGR-070,NANO KARNO,BOGOR,TANJUNGSARI,107.1317,-6.505883,No,,BR,600,2100
D-BGR-070-1-02-IN,SUKABUMI,D-BGR-070,NANO KARNO,BOGOR,TANJUNGSARI,107.1317,-6.505883,No,,BR,600,2100
D-BGR-073-1-01-IN,BOGOR,D-BGR-073,SUJARI,BOGOR,SUKAMAKMUR,107.012567,-6.62365,No,,AK,10,10
D-BGR-074-1-01-IN,BOGOR,D-BGR-074,ABIDIN,BOGOR,SUKAMAKMUR,107.023967,-6.593617,No,,AK,20,40
D-BGR-076-1-01-IN,,D-BGR-076,iDING,BOGOR,SUKAMAKMUR,107.024783,-6.61005,No,,AK,20,60
D-BGR-078-1-01-IN,BOGOR,D-BGR-078,BAPAK SUMARNA,BOGOR,SUKAMAKMUR,107.126483,-6.517067,No,,AK,30,210
D-BGR-079-1-01-IN,BOGOR,D-BGR-079,BAPAK ACE,BOGOR,SUKAMAKMUR,107.126267,-6.5148,No,,AK,100,233.3333
D-BGR-079-1-02-IN,KOTA DEPOK,D-BGR-079,BAPAK ACE,BOGOR,SUKAMAKMUR,107.126267,-6.5148,No,,AK,100,233.3333
D-BGR-079-1-03-IN,BEKASI,D-BGR-079,BAPAK ACE,BOGOR,SUKAMAKMUR,107.126267,-6.5148,No,,AK,100,233.3333
D-BGR-085-3-01-IN,BOGOR,D-BGR-090,Pak Lukman,BOGOR,TAJUR HALANG,106.771,-6.479867,No,,BR,20,20
D-BGR-085-4-01-IN,BOGOR,D-BGR-091,Pak Misun,BOGOR,TAJUR HALANG,106.768633,-6.47445,No,,BR,60,180
D-BGR-085-5-01-IN,BOGOR,D-BGR-093,Pak Maman,BOGOR,TAJUR HALANG,106.776933,-6.47795,No,,BR,500,500
D-BGR-085-6-01-IN,BOGOR,D-BGR-095,TRI HARDIYANTO,BOGOR,TAJUR HALANG,106.764783,-6.480733,No,,BR,1500,10500
D-BGR-088-1-01-IN,BOGOR,D-BGR-088,MMC (MM Chicken),BOGOR,TAJUR HALANG,106.778133,-6.491633,No,,BR,300,300
D-BGR-088-2-01-IN,BOGOR,D-BGR-089,cv Nagra chicken,BOGOR,TAJUR HALANG,106.784067,-6.4856,No,,BR,1000,7000
D-BGR-088-2-02-IN,BOGOR,D-BGR-089,cv Nagra chicken,BOGOR,TAJUR HALANG,106.784067,-6.4856,No,,BR,4000,4000
D-BGR-088-2-03-IN,JAKARTA UTARA,D-BGR-089,cv Nagra chicken,BOGOR,TAJUR HALANG,106.784067,-6.4856,No,,BR,1500,10500
D-BGR-092-3-01-IN,BOGOR,D-BGR-097,pak amil/kimi,BOGOR,TAJUR HALANG,106.771933,-6.473867,No,,AK,20,140
D-BGR-096-1-01-IN,KOTA DEPOK,D-BGR-096,pak munijo,BOGOR,TAJUR HALANG,106.7813,-6.500502,No,,BR,70,490
D-BGR-098-1-01-IN,BOGOR,D-BGR-098,ASMAN,BOGOR,TAJUR HALANG,106.7556,-6.472467,No,,BR,5,5
D-BGR-098-1-02-IN,BOGOR,D-BGR-098,ASMAN,BOGOR,TAJUR HALANG,106.7556,-6.472467,No,,AK,10,10
D-BGR-098-1-03-IN,BOGOR,D-BGR-098,ASMAN,BOGOR,TAJUR HALANG,106.7556,-6.472467,No,,LA,6,6
D-BGR-098-2-01-IN,BOGOR,D-BGR-099,NAAM,BOGOR,TAJUR HALANG,106.75605,-6.4726,No,,BR,5,5
D-BGR-098-2-02-IN,BOGOR,D-BGR-099,NAAM,BOGOR,TAJUR HALANG,106.75605,-6.4726,No,,AK,10,10
D-BGR-104-1-01-IN,KOTA DEPOK,D-BGR-104,pak mono,BOGOR,TAJUR HALANG,106.775433,-6.455567,No,,BR,35,245
D-BGR-105-1-01-IN,LAMPUNG SELATAN,D-BGR-105,MST GROUP,BOGOR,BOJONG GEDE,107.2483549,-6.250873707,No,,BR,1700,5100
D-BGR-105-1-02-IN,CIANJUR,D-BGR-105,MST GROUP,BOGOR,BOJONG GEDE,107.2483549,-6.250873707,No,,BR,1700,2266.6661
D-BGR-105-1-03-IN,BANDUNG,D-BGR-105,MST GROUP,BOGOR,BOJONG GEDE,107.2483549,-6.250873707,No,,BR,1700,2266.6661
D-BGR-105-1-04-IN,SUKABUMI,D-BGR-105,MST GROUP,BOGOR,BOJONG GEDE,107.2483549,-6.250873707,No,,BR,1700,2266.6661
D-BGR-106-1-01-IN,CIANJUR,D-BGR-106,KEMBAR AB,BOGOR,BOJONG GEDE,106.798233,-6.45225,No,,BR,500,1500
D-BGR-106-1-02-IN,SUKABUMI,D-BGR-106,KEMBAR AB,BOGOR,BOJONG GEDE,106.798233,-6.45225,No,,BR,500,2000
D-BGR-109-1-01-IN,BOGOR,D-BGR-109,AGUS SUTRISNO,BOGOR,BOJONG GEDE,106.7811,-6.50225,No,,BR,600,4200
D-BGR-110-1-01-IN,BOGOR,D-BGR-110,MOHAMMAD IMAM,BOGOR,BOJONG GEDE,106.799917,-6.45405,No,,BR,150,1050
D-BGR-114-1-01-IN,KOTA DEPOK,D-BGR-114,H. REHAN,BOGOR,BOJONG GEDE,107.2483549,-6.250873707,No,,BR,60,420
D-BGR-117-1-01-IN,BOGOR,D-BGR-117,ASEP,BOGOR,BOJONG GEDE,107.2483549,-6.250873707,No,,BR,150,900
D-BGR-117-1-02-IN,KOTA DEPOK,D-BGR-117,ASEP,BOGOR,BOJONG GEDE,107.2483549,-6.250873707,No,,BR,150,150
D-BGR-117-2-01-IN,BOGOR,D-BGR-118,BAPAK NAHROWI,BOGOR,BOJONG GEDE,106.795983,-6.46015,No,,BR,160,480
D-BGR-117-3-01-IN,BOGOR,D-BGR-119,ATENG,BOGOR,BOJONG GEDE,107.2483549,-6.250873707,No,,BR,250,750
D-BGR-117-3-02-IN,BOGOR,D-BGR-119,ATENG,BOGOR,BOJONG GEDE,107.2483549,-6.250873707,No,,BR,250,500
D-BGR-117-3-03-IN,KOTA DEPOK,D-BGR-119,ATENG,BOGOR,BOJONG GEDE,107.2483549,-6.250873707,No,,BR,250,500
D-BGR-117-4-01-IN,JAKARTA PUSAT,D-BGR-120,DUDI,BOGOR,BOJONG GEDE,107.2483549,-6.250873707,No,,BR,100,700
D-BGR-121-3-01-IN,BOGOR,D-BGR-124,BAPAK KURTUBI,BOGOR,BOJONG GEDE,107.2483549,-6.250873707,No,,BR,105,735
D-BGR-125-1-01-IN,BOGOR,D-BGR-125,MENTARI,BOGOR,BOJONG GEDE,106.793,-6.499917,No,,BR,300,900
D-BGR-125-1-02-IN,BOGOR,D-BGR-125,MENTARI,BOGOR,BOJONG GEDE,106.793,-6.499917,No,,BR,300,900
D-BGR-126-1-01-IN,BOGOR,D-BGR-126,CECE SYARIFUDIN,BOGOR,BOJONG GEDE,106.79555,-6.487267,No,,BR,120,279.99996
D-BGR-126-1-02-IN,SUKABUMI,D-BGR-126,CECE SYARIFUDIN,BOGOR,BOJONG GEDE,106.79555,-6.487267,No,,BR,120,279.99996
D-BGR-126-1-03-IN,TANGERANG,D-BGR-126,CECE SYARIFUDIN,BOGOR,BOJONG GEDE,106.79555,-6.487267,No,,BR,120,279.99996
D-BGR-126-1-04-IN,BOGOR,D-BGR-126,CECE SYARIFUDIN,BOGOR,BOJONG GEDE,106.79555,-6.487267,No,,BR,20,140
