movement_id,origin_district,type,species,number,weekly_volume,destination_code,destination_name,destination_x,destination_y,destination_district,destination_subdistrict,point_x_subdistrict_destination,point_y_subdistrict_destination,object_id_subdistrict_destination,in_km_distance_origin_district_destination,destination_in_cluster,destination_cluster_name,cy_id
D-BGR-002-1-01-IN,BOGOR,LC,BR,100,350,D-BGR-002,DENY (ID LAMA:ALLOY),106.69505,-6.434967,BOGOR,CISEENG,106.6785968,-6.455673513,1934,11.41760095,No,,D-BGR-002-1
D-BGR-002-1-02-IN,SUKABUMI,LC,BR,100,350,D-BGR-002,DENY (ID LAMA:ALLOY),106.69505,-6.434967,BOGOR,CISEENG,106.6785968,-6.455673513,1934,70.01317686,No,,D-BGR-002-1
D-BGR-005-1-01-IN,CIANJUR,FA,BR,3000,3000,D-BGR-005,Cahaya farm,106.694467,-6.431183,BOGOR,PARUNG,106.7130303,-6.435132238,1933,92.5899841,No,,D-BGR-005-1
D-BGR-005-1-02-IN,BOGOR,FA,BR,3000,18000,D-BGR-005,Cahaya farm,106.694467,-6.431183,BOGOR,PARUNG,106.7130303,-6.435132238,1933,11.81754967,No,,D-BGR-005-1
D-BGR-006-1-01-IN,SUKABUMI,FA,BR,1000,2000,D-BGR-006,BERDIKARI FARM,107.2483549,-6.250873707,BOGOR,KEMANG,106.7345216,-6.502780042,1931,,No,,D-BGR-006-1
D-BGR-007-1-01-IN,TASIKMALAYA,Br,BR,1000,3000,D-BGR-007,RPA PERKASA JAYA,107.2483549,-6.250873707,BOGOR,KEMANG,106.7345216,-6.502780042,1931,,No,,D-BGR-007-1
D-BGR-009-1-01-IN,BOGOR,Br,BR,500,1500,D-BGR-009,PDM FARM,107.2483549,-6.250873707,BOGOR,KEMANG,106.7345216,-6.502780042,1931,,No,,D-BGR-009-1
D-BGR-010-1-01-IN,BOGOR,Br,BR,500,1500,D-BGR-010,BRAVO,107.2483549,-6.250873707,BOGOR,KEMANG,106.7345216,-6.502780042,1931,,No,,D-BGR-010-1
D-BGR-011-1-01-IN,BOGOR,FA,AK,2,14,D-BGR-011,Pak samad,106.6824,-6.406967,BOGOR,GUNUNG SINDUR,106.6866873,-6.387298126,1935,14.78802296,No,,D-BGR-011-1
D-BGR-016-1-01-IN,BOGOR,CY,BR,45,315,D-BGR-016,YASIR,106.841533,-6.480017,BOGOR,CIBINONG,106.8355206,-6.484212417,1928,12.5042554,No,,D-BGR-016-1
D-BGR-017-1-01-IN,BOGOR,FA,BR,800,4000,D-BGR-017,MARET DWI JANTA,106.821867,-6.471333,BOGOR,CIBINONG,106.8355206,-6.484212417,1928,11.05878438,No,,D-BGR-017-1
D-BGR-017-1-02-IN,BOGOR,CY,BR,800,1600,D-BGR-017,MARET DWI JANTA,106.821867,-6.471333,BOGOR,CIBINONG,106.8355206,-6.484212417,1928,11.05878438,No,,D-BGR-017-1
D-BGR-018-1-01-IN,KOTA BOGOR,FA,BR,500,3500,D-BGR-018,H.ZAINUDIN,106.85465,-6.4728,BOGOR,CIBINONG,106.8355206,-6.484212417,1928,14.55121329,No,,D-BGR-018-1
