movement_id,origin_code,origin_name,origin_district,origin_sub_district,origin_X,origin_Y,origin_in_cluster,cluster_name,destination_LBM_CY_id,destination_district,destination_sub_district,destination_X,destination_Y,species,number,weekly_volume
D-BGR-002-1-01-OUT,D-BGR-002,DENY (ID LAMA:ALLOY),BOGOR,CISEENG,106.69505,-6.434967,No,,,BOGOR,CISEENG,106.678597,-6.455674,BR,10,70
D-BGR-005-1-01-OUT,D-BGR-005,Cahaya farm,BOGOR,PARUNG,106.694467,-6.431183,No,,,KOTA TANGERANG,CILEDUG,106.70568,-6.238776,BR,1000,7000
D-BGR-005-1-02-OUT,D-BGR-005,Cahaya farm,BOGOR,PARUNG,106.694467,-6.431183,No,,,BOGOR,CIBINONG,106.835521,-6.484212,BR,1000,7000
D-BGR-005-1-03-OUT,D-BGR-005,Cahaya farm,BOGOR,PARUNG,106.694467,-6.431183,No,,,BOGOR,PARUNG,106.71303,-6.435132,BR,500,3500
D-BGR-005-1-04-OUT,D-BGR-005,Cahaya farm,BOGOR,PARUNG,106.694467,-6.431183,No,,,BOGOR,PARUNG,106.71303,-6.435132,BR,500,3500
D-BGR-006-1-01-OUT,D-BGR-006,BERDIKARI FARM,BOGOR,KEMANG,107.2483549,-6.250873707,No,,,BOGOR,KEMANG,106.734522,-6.50278,BR,100,700
D-BGR-011-1-01-OUT,D-BGR-011,Pak samad,BOGOR,GUNUNG SINDUR,106.6824,-6.406967,No,,,BOGOR,GUNUNG SINDUR,106.686687,-6.387298,AK,2,14
D-BGR-021-3-01-OUT,D-BGR-023,H DAMIN,BOGOR,CIBINONG,106.83055,-6.475433,No,,,KOTA BEKASI,JATISAMPURNA,106.924812,-6.364892,BR,150,1050
D-BGR-021-3-02-OUT,D-BGR-023,H DAMIN,BOGOR,CIBINONG,106.83055,-6.475433,No,,,BOGOR,CITEUREUP,106.892528,-6.524803,BR,150,1050
D-BGR-032-1-01-OUT,D-BGR-032,BAPAK HAJI KHOLIL,BOGOR,CIBINONG,106.823083,-6.490867,No,,,BOGOR,CITEUREUP,106.892528,-6.524803,BR,20,100
D-BGR-037-1-01-OUT,D-BGR-037,ASMAD,BOGOR,CIBINONG,106.823,-6.469133,No,,D-BGR-041,BOGOR,CIBINONG,106.823033,-6.46915,AK,20,100
D-BGR-037-1-02-OUT,D-BGR-037,ASMAD,BOGOR,CIBINONG,106.823,-6.469133,No,,D-BGR-041,BOGOR,CIBINONG,106.823033,-6.46915,DU,10,30
D-BGR-048-1-01-OUT,D-BGR-048,PUTRA FARM,BOGOR,DRAMAGA,106.731567,-6.575267,No,,,BOGOR,DRAMAGA,106.729951,-6.588789,BR,240,1680
D-BGR-049-1-01-OUT,D-BGR-049,JAJA AYAM,BOGOR,CIAMPEA,106.693483,-6.551483,No,,,BOGOR,CIAMPEA,106.698253,-6.574048,AK,15,105
D-BGR-049-1-02-OUT,D-BGR-049,JAJA AYAM,BOGOR,CIAMPEA,106.693483,-6.551483,No,,,BOGOR,CIAMPEA,106.698253,-6.574048,DU,10,70
D-BGR-052-1-01-OUT,D-BGR-052,MARTIN,BOGOR,JONGGOL,107.067217,-6.465933,No,,D-BGR-051,BOGOR,JONGGOL,107.06585,-6.465417,BR,225,1575
D-BGR-057-1-01-OUT,D-BGR-057,NURDIN MULYADI,BOGOR,CARIU,107.134067,-6.505333,No,,M-DPK-015,KOTA DEPOK,BEJI,106.825017,-6.386333,AK,15,105
D-BGR-057-1-02-OUT,D-BGR-057,NURDIN MULYADI,BOGOR,CARIU,107.134067,-6.505333,No,,M-DPK-015,KOTA DEPOK,BEJI,106.825017,-6.386333,DU,35,245
D-BGR-058-1-01-OUT,D-BGR-058,H. YADI,BOGOR,CARIU,107.1317,-6.505883,No,,,BOGOR,CARIU,107.137273,-6.527022,BR,300,2100
D-BGR-059-1-01-OUT,D-BGR-059,MAMAN,BOGOR,TANJUNGSARI,107.154283,-6.580633,No,,,BOGOR,CARIU,107.137273,-6.527022,AK,10,70
D-BGR-061-1-01-OUT,D-BGR-061,BAPAK ASRIP,BOGOR,TANJUNGSARI,107.149,-6.588283,No,,,BOGOR,JONGGOL,107.046967,-6.495464,AK,20,40
D-BGR-061-1-02-OUT,D-BGR-061,BAPAK ASRIP,BOGOR,TANJUNGSARI,107.149,-6.588283,No,,,BOGOR,CARIU,107.137273,-6.527022,AK,10,10
D-BGR-062-1-01-OUT,D-BGR-062,HAMIM,BOGOR,TANJUNGSARI,107.146367,-6.584583,No,,D-BGR-051,BOGOR,JONGGOL,107.06585,-6.465417,AK,25,50
D-BGR-062-1-02-OUT,D-BGR-062,HAMIM,BOGOR,TANJUNGSARI,107.146367,-6.584583,No,,,BOGOR,CARIU,107.137273,-6.527022,AK,20,20
D-BGR-063-1-01-OUT,D-BGR-063,BAPAK UJAY,BOGOR,TANJUNGSARI,107.14705,-6.600167,No,,,BOGOR,CARIU,107.137273,-6.527022,AK,20,40
D-BGR-064-1-01-OUT,D-BGR-064,NASIM,BOGOR,TANJUNGSARI,107.167817,-6.640167,No,,D-BGR-051,BOGOR,JONGGOL,107.06585,-6.465417,AK,90,630
D-BGR-064-1-02-OUT,D-BGR-064,NASIM,BOGOR,TANJUNGSARI,107.167817,-6.640167,No,,,BOGOR,TANJUNGSARI,107.137789,-6.61206,AK,10,70
D-BGR-065-1-01-OUT,D-BGR-065,H. Andang,BOGOR,TANJUNGSARI,107.2483549,-6.250873707,No,,,BOGOR,TANJUNGSARI,107.137789,-6.61206,BR,100,700
