movement_id,origin_code,origin_name,origin_district,origin_sub_district,origin_x,origin_y,species,number,weekly_volume,type_destination,name_destination,destination_lbm_cy_id,destination_district,destination_sub_district,destination_x_original,destination_y_original,xy,point_x_subdistrict,point_y_subdistrict,object_id_destination,in_km_distance_origin_destination,origin_in_cluster,cluster_name
D-BGR-002-1-01-OUT,D-BGR-002,DENY (ID LAMA:ALLOY),BOGOR,CISEENG,106.69505,-6.434967,BR,10,70,AB,WARGA,,BOGOR,CISEENG,106.678597,-6.455674,subdistrict coordinate,106.6785968,-6.455673513,1934,29.53332988,No,
D-BGR-005-1-01-OUT,D-BGR-005,Cahaya farm,BOGOR,PARUNG,106.694467,-6.431183,BR,1000,7000,LBM,,,KOTA TANGERANG,CILEDUG,106.70568,-6.238776,subdistrict coordinate,108.7474726,-6.898093503,2203,9.805772117,No,
D-BGR-005-1-02-OUT,D-BGR-005,Cahaya farm,BOGOR,PARUNG,106.694467,-6.431183,BR,1000,7000,LBM,,,BOGOR,CIBINONG,106.835521,-6.484212,subdistrict coordinate,106.8355206,-6.484212417,1928,25.16362974,No,
D-BGR-005-1-03-OUT,D-BGR-005,Cahaya farm,BOGOR,PARUNG,106.694467,-6.431183,BR,500,3500,LBM,,,BOGOR,PARUNG,106.71303,-6.435132,subdistrict coordinate,106.7130303,-6.435132238,1933,21.19372517,No,
D-BGR-005-1-04-OUT,D-BGR-005,Cahaya farm,BOGOR,PARUNG,106.694467,-6.431183,BR,500,3500,AS,,,BOGOR,PARUNG,106.71303,-6.435132,subdistrict coordinate,106.7130303,-6.435132238,1933,21.19372517,No,
D-BGR-006-1-01-OUT,D-BGR-006,BERDIKARI FARM,BOGOR,KEMANG,107.2483549,-6.250873707,BR,100,700,LBM,Pasar Semplak,,BOGOR,KEMANG,106.734522,-6.50278,subdistrict coordinate,106.7345216,-6.502780042,1931,63.77567306,No,
D-BGR-011-1-01-OUT,D-BGR-011,Pak samad,BOGOR,GUNUNG SINDUR,106.6824,-6.406967,AK,2,14,LBM,pasar suradita,,BOGOR,GUNUNG SINDUR,106.686687,-6.387298,subdistrict coordinate,106.6866873,-6.387298126,1935,22.54010315,No,
D-BGR-021-3-01-OUT,D-BGR-023,H DAMIN,BOGOR,CIBINONG,106.83055,-6.475433,BR,150,1050,LBM,PASAR KRANGGAN,,KOTA BEKASI,JATISAMPURNA,106.924812,-6.364892,subdistrict coordinate,106.9248119,-6.364891964,2490,21.31597752,No,
D-BGR-021-3-02-OUT,D-BGR-023,H DAMIN,BOGOR,CIBINONG,106.83055,-6.475433,BR,150,1050,LBM,PASAR CITEUREUP,,BOGOR,CITEUREUP,106.892528,-6.524803,subdistrict coordinate,106.8925285,-6.524802503,1927,33.58736199,No,
D-BGR-032-1-01-OUT,D-BGR-032,BAPAK HAJI KHOLIL,BOGOR,CIBINONG,106.823083,-6.490867,BR,20,100,AB,,,BOGOR,CITEUREUP,106.892528,-6.524803,subdistrict coordinate,106.8925285,-6.524802503,1927,33.5442021,No,
D-BGR-037-1-01-OUT,D-BGR-037,ASMAD,BOGOR,CIBINONG,106.823,-6.469133,AK,20,100,LBM,Pasar Cibinong,D-BGR-041,BOGOR,CIBINONG,106.823033,-6.46915,original coordinate,106.8355206,-6.484212417,1928,14.51977946,No,
D-BGR-037-1-02-OUT,D-BGR-037,ASMAD,BOGOR,CIBINONG,106.823,-6.469133,DU,10,30,LBM,Pasar Cibinong,D-BGR-041,BOGOR,CIBINONG,106.823033,-6.46915,original coordinate,106.8355206,-6.484212417,1928,14.51977946,No,
D-BGR-048-1-01-OUT,D-BGR-048,PUTRA FARM,BOGOR,DRAMAGA,106.731567,-6.575267,BR,240,1680,AS,,,BOGOR,DRAMAGA,106.729951,-6.588789,subdistrict coordinate,106.729951,-6.588788581,1909,4.391602832,No,
D-BGR-049-1-01-OUT,D-BGR-049,JAJA AYAM,BOGOR,CIAMPEA,106.693483,-6.551483,AK,15,105,AS,WARGA SEKITAR,,BOGOR,CIAMPEA,106.698253,-6.574048,subdistrict coordinate,106.6982528,-6.574047734,1907,26.28713079,No,
